iter	Passed	Remaining
0	0	65
1	1	58
2	1	54
3	2	50
4	2	49
5	3	48
6	3	47
7	4	46
8	4	46
9	5	46
10	5	45
11	6	44
12	6	44
13	7	43
14	7	42
15	8	42
16	8	41
17	9	41
18	9	40
19	10	40
20	10	39
21	10	38
22	11	38
23	11	37
24	12	37
25	12	36
26	13	36
27	13	35
28	14	34
29	14	34
30	15	33
31	15	33
32	16	32
33	16	32
34	17	31
35	17	31
36	18	30
37	18	30
38	19	30
39	19	29
40	21	30
41	21	29
42	22	29
43	23	29
44	24	30
45	25	30
46	26	30
47	27	30
48	28	29
49	29	29
50	30	29
51	31	29
52	32	28
53	33	28
54	34	28
55	35	27
56	36	27
57	37	27
58	38	26
59	39	26
60	40	25
61	40	25
62	45	26
63	46	26
64	48	25
65	49	25
66	50	24
67	50	23
68	51	23
69	51	22
70	52	21
71	53	20
72	53	19
73	54	19
74	54	18
75	55	17
76	55	16
77	56	15
78	57	15
79	57	14
80	58	13
81	59	12
82	59	12
83	60	11
84	61	10
85	61	10
86	62	9
87	63	8
88	64	7
89	64	7
90	65	6
91	65	5
92	66	5
93	67	4
94	67	3
95	68	2
96	69	2
97	69	1
98	70	0
99	70	0
